sweep,best_lp,median_lp,best_minus_median,accept,pop_spread,elapsed_s
345,127643.4260,125702.8938,1940.5322,0.0556,3.66115,2329.8
346,127643.4260,125702.8938,1940.5322,0.0185,3.66896,2335.9
347,127643.4260,125731.5271,1911.8989,0.0370,3.69097,2341.5
348,127643.4260,125818.6216,1824.8043,0.0741,3.70071,2347.7
349,127643.4260,125818.6216,1824.8043,0.0556,3.73999,2353.5
350,127643.4260,125818.6216,1824.8043,0.0185,3.75089,2359.5
351,127643.4260,125818.6216,1824.8043,0.0185,3.76195,2365.7
352,127643.4260,125849.0142,1794.4118,0.0556,3.81381,2371.6
353,127643.4260,125976.4166,1667.0094,0.0370,3.80372,2377.7
354,127643.4260,125976.4166,1667.0094,0.0185,3.82214,2383.7
355,127643.4260,125976.4166,1667.0094,0.0185,3.82251,2390.3
356,127643.4260,126023.7613,1619.6647,0.0556,3.821,2396.0
357,127643.4260,126023.7613,1619.6647,0.0000,3.821,2401.7
358,127666.6332,126023.7613,1642.8719,0.0185,3.8058,2407.8
359,127666.6332,126023.7613,1642.8719,0.0000,3.8058,2414.1
360,127666.6332,126033.9614,1632.6717,0.0370,3.81512,2420.1
361,127666.6332,126033.9614,1632.6717,0.0370,3.81889,2425.7
362,127666.6332,126033.9614,1632.6717,0.0185,3.81121,2431.7
363,127666.6332,126044.5628,1622.0703,0.0556,3.79519,2437.6
364,127666.6332,126044.5628,1622.0703,0.0185,3.80577,2443.9
365,127666.6332,126044.5628,1622.0703,0.0185,3.8044,2450.1
366,127666.6332,126044.5628,1622.0703,0.0185,3.80684,2456.0
367,127666.6332,126044.5628,1622.0703,0.0926,3.81941,2461.9
368,127666.6332,126075.6251,1591.0081,0.0741,3.87113,2468.2
369,127666.6332,126075.6251,1591.0081,0.0556,3.87729,2474.1
370,127666.6332,126075.6251,1591.0081,0.0000,3.87729,2480.3
371,127666.6332,126137.7339,1528.8993,0.0370,3.89479,2486.4
372,127666.6332,126191.2905,1475.3427,0.0370,3.96046,2492.8
373,127666.6332,126191.2905,1475.3427,0.0370,3.96144,2498.6
374,127666.6332,126191.2905,1475.3427,0.0185,3.95794,2504.4
375,127666.6332,126191.2905,1475.3427,0.0370,3.96624,2510.1
376,127666.6332,126191.2905,1475.3427,0.0000,3.96624,2516.5
377,127666.6332,126208.9876,1457.6456,0.0370,3.97316,2522.5
378,127666.6332,126208.9876,1457.6456,0.0000,3.97316,2528.6
379,127666.6332,126208.9876,1457.6456,0.0370,4.01694,2535.0
380,127666.6332,126208.9876,1457.6456,0.0185,4.06409,2541.1
381,127666.6332,126208.9876,1457.6456,0.0185,4.08557,2547.2
382,127666.6332,126208.9876,1457.6456,0.0000,4.08557,2552.8
383,127666.6332,126208.9876,1457.6456,0.0185,4.09226,2559.5
384,127666.6332,126208.9876,1457.6456,0.0185,4.09624,2565.6
385,127666.6332,126208.9876,1457.6456,0.0000,4.09624,2572.0
386,127666.6332,126208.9876,1457.6456,0.0370,4.12134,2578.2
387,127666.6332,126208.9876,1457.6456,0.0000,4.12134,2584.1
388,127666.6332,126217.8882,1448.7450,0.0556,4.15071,2589.9
389,127666.6332,126217.8882,1448.7450,0.0185,4.17821,2595.9
390,127666.6332,126217.8882,1448.7450,0.0000,4.17821,2601.6
391,127666.6332,126217.8882,1448.7450,0.0185,4.1829,2607.5
392,127666.6332,126217.8882,1448.7450,0.0185,4.18582,2613.4
393,127666.6332,126217.8882,1448.7450,0.0000,4.18582,2620.0
394,127666.6332,126217.8882,1448.7450,0.0000,4.18582,2626.4
395,127666.6332,126217.8882,1448.7450,0.0370,4.17972,2632.7
396,127666.6332,126217.8882,1448.7450,0.0185,4.16819,2638.4
397,127666.6332,126217.8882,1448.7450,0.0000,4.16819,2644.4
