# HJD mag err
2457140.769470 19.835 0.088
2457140.832940 19.959 0.136
2457140.922160 19.825 0.102
2457141.685740 19.440 0.059
2457141.729740 19.514 0.051
2457141.774110 19.585 0.049
2457141.835950 19.541 0.053
2457141.886950 19.620 0.066
2457141.931420 19.627 0.091
2457142.680130 19.557 0.056
2457142.726010 19.561 0.057
2457142.770730 19.504 0.058
2457142.825720 19.487 0.061
2457142.881290 19.648 0.070
2457142.925250 19.738 0.084
2457143.679870 19.648 0.086
2457143.722860 19.825 0.108
2457143.766980 19.715 0.093
2457143.813460 19.716 0.081
2457143.867960 19.719 0.087
2457143.931890 19.976 0.148
2457144.671390 20.007 0.159
2457144.713840 19.786 0.137
2457144.768680 19.727 0.086
2457144.840140 19.661 0.113
2457145.688710 19.856 0.141
2457145.764670 19.574 0.093
2457145.809680 19.556 0.075
2457145.856110 19.554 0.090
2457145.901800 19.731 0.100
2457146.638460 19.636 0.143
2457146.676470 19.373 0.084
2457146.713440 19.519 0.082
2457146.750470 19.602 0.089
2457146.787780 19.571 0.078
2457146.828410 19.491 0.068
2457146.867220 19.682 0.086
2457146.904600 19.562 0.089
2457147.644990 20.002 0.238
2457147.682670 19.657 0.131
2457147.720610 19.703 0.125
2457147.757980 19.717 0.115
2457147.795380 19.569 0.112
2457147.835290 19.596 0.107
2457147.914100 19.763 0.127
2457148.876900 19.704 0.141
2457151.844010 19.633 0.107
2457152.785980 19.679 0.080
