# HJD mag err
2457612.405460 19.752 0.192
2457612.442020 19.443 0.139
2457616.239900 19.504 0.235
2457616.280220 19.759 0.193
2457616.321720 19.974 0.257
2457616.358710 19.874 0.281
2457616.395880 19.436 0.205
2457617.293110 19.556 0.181
2457617.330190 19.304 0.164
2457617.368300 19.539 0.264
2457619.308470 19.562 0.219
2457620.239850 19.537 0.151
2457621.250130 19.558 0.098
2457621.292370 19.497 0.107
2457621.328460 19.763 0.164
2457621.380840 19.578 0.143
2457621.418620 19.661 0.164
2457624.244040 19.883 0.202
2457624.347520 19.587 0.097
2457624.394650 19.525 0.100
2457624.429730 19.588 0.132
2457625.218290 19.417 0.100
2457625.255300 19.467 0.104
2457625.296750 19.579 0.107
2457625.333480 19.530 0.074
2457625.378460 19.570 0.081
2457625.419340 19.637 0.129
2457626.252800 19.547 0.080
2457626.292480 19.439 0.070
2457626.334180 19.557 0.080
2457626.370380 19.629 0.087
2457626.417790 19.606 0.107
2457627.239560 19.553 0.077
2457627.279630 19.541 0.074
2457627.317230 19.512 0.105
2457627.353200 19.520 0.095
2457627.402150 19.405 0.120
2457628.241830 19.547 0.092
2457628.280860 19.626 0.108
2457628.318330 19.581 0.096
2457628.354730 19.447 0.097
2457628.404110 19.636 0.136
2457629.246880 19.535 0.110
2457629.287870 19.876 0.143
2457629.324480 19.579 0.124
2457629.361100 19.566 0.131
2457629.407700 19.485 0.130
2457630.259940 19.620 0.088
2457631.287440 19.745 0.138
2457631.335380 19.711 0.163
2457631.370950 19.666 0.152
2457631.405470 19.646 0.153
2457632.276670 19.527 0.123
2457633.252850 20.077 0.230
2457633.312970 19.982 0.209
2457633.353720 19.966 0.209
2457635.335370 19.349 0.141
2457636.270580 19.826 0.167
2457636.312690 19.440 0.194
2457638.229790 20.176 0.258
2457638.272860 19.558 0.147
2457638.308730 19.784 0.170
2457638.355410 19.162 0.239
2457639.228390 19.407 0.126
2457639.305330 19.562 0.112
2457639.344830 19.618 0.130
2457641.227810 19.517 0.225
2457641.301320 19.124 0.225
2457642.230650 19.521 0.212
2457642.283320 19.877 0.281
2457643.269020 19.434 0.216
2457644.250960 19.702 0.165
2457644.306630 19.658 0.176
2457644.342380 19.592 0.188
2457645.233120 19.548 0.117
2457645.269500 19.251 0.122
2457646.256030 19.586 0.120
